"FARMACIA";"DENOMINAZI";"CHIAVE";"INDIRIZZO";"OMOGENEA";"QUARTIERE";"CIRCOSCRIZ";"TOOLTIP";"Latitudine";"Longitudine";
"47";"Realdon Dr. Gian Domenico";"9763-48";"VIA VILLAFRANCA 48,
37137 Verona";"S. Lucia - zona orig.";"S. LUCIA";"SUD-OVEST";"47 Realdon Dr. Gian Domenico";"45.4196996486734";"10.9543664855504";
"48";"Comunale Tomba";"2118-237";"VIA CENTRO 237,
37135 Verona";"Tomba";"BORGO ROMA";"SUD";"48 Comunale Tomba";"45.4064317128347";"10.9851675020506";
"49";"Comunale Madonna di Campagna";"7327-259";"VIA ANTONIO SALIERI 259,
37132 Verona";"Madonna di campagna";"S. MICHELE";"SUD-EST";"49 Comunale Madonna di Campagna";"45.4289316376467";"11.049476801105";
"50";"Comunale Cadore";"6351-28A";"VIA ALESSANDRO POERIO 28A,
37124 Verona";"Ponte Crencano - Est";"PONTE CRENCANO";"NORD-OVEST";"50 Comunale Cadore";"45.4598817142649";"10.9771124727121";
"51";"Comunale Olimpia";"5912-61";"VIALE ANDREA PALLADIO 61,
37138 Verona";"Stadio";"BORGO MILANO";"OVEST";"51 Comunale Olimpia";"45.4331186917303";"10.9714313368183";
"52";"Comunale Chievo";"95-104";"VIA AEROPORTO ANGELO BERARDI 104,
37139 Verona";"Chievo";"BORGO MILANO";"OVEST";"52 Comunale Chievo";"45.4582499416498";"10.9466420544369";
"53";"Comunale San Rocco";"3299-31";"VIA FABBRICATO SCOLASTICO 31,
37125 Verona";"Quinzano - Centro";"QUINZANO";"NORD-OVEST";"53 Comunale San Rocco";"45.4652912829731";"10.9752974000138";
"54";"Comunale Grattacielo";"742-7";"VIA FRANCESCO BERNI 7,
37122 Verona";"Valverde";"CITTADELLA";"CENTRO STORICO";"54 Comunale Grattacielo";"45.4342068990382";"10.9853639223001";
"55";"Ponte Catena";"2921-6B";"VIA VASCO DE GAMA 6B,
37138 Verona";"Navigatori";"BORGO MILANO";"OVEST";"55 Ponte Catena";"45.4493870891832";"10.9799091546165";
"56";"Martari Eredi";"5060-22";"VIA DEI MILLE 22,
37126 Verona";"Arsenale";"BORGO TRENTO";"NORD-OVEST";"56 Martari Eredi";"45.4485872223293";"10.9876635961186";
"57";"Burri Dr. Umberto";"4657-4";"VIA GOFFREDO MAMELI 4,
37126 Verona";"Cesiolo";"BORGO TRENTO";"NORD-OVEST";"57 Burri Dr. Umberto";"45.4503711431892";"10.9920603668401";
"58";"Fongaro Dr. Sergio";"2285-11";"VIA CARLO CIPOLLA 11,
37131 Verona";"Biondella";"BORGO VENEZIA";"EST";"58 Fongaro Dr. Sergio";"45.4442103509324";"11.0162875235263";
"59";"Bacchini S.N.C.";"4065-23A";"VIA BARTOLOMEO GIULIARI 23A,
37134 Verona";"I^ Maggio";"BORGO ROMA";"SUD";"59 Bacchini S.N.C.";"45.411022225359";"10.9940119847641";
"60";"Comunale Golosine";"4092-123";"VIA GOLOSINE 123,
37136 Verona";"Golosine - Sud";"GOLOSINE";"SUD-OVEST";"60 Comunale Golosine";"45.4181462694079";"10.9645464668324";
